""	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"	"X51"	"X52"	"X53"	"X54"	"X55"	"X56"	"X57"	"X58"	"X59"	"X60"	"X61"	"X62"	"X63"	"X64"	"X65"	"X66"	"X67"	"X68"	"X69"	"X70"	"X71"	"X72"	"X73"	"X74"	"X75"	"X76"	"X77"	"X78"	"X79"	"X80"	"X81"	"X82"	"X83"	"X84"	"X85"	"X86"	"X87"	"X88"	"X89"	"X90"	"X91"	"X92"	"X93"	"X94"	"X95"	"X96"	"X97"	"X98"	"X99"	"X100"	"X101"	"X102"	"X103"	"X104"	"X105"	"X106"	"X107"	"X108"	"X109"	"X110"	"X111"	"X112"	"X113"	"X114"	"X115"	"X116"	"X117"	"X118"	"X119"	"X120"	"X121"	"X122"	"X123"	"X124"	"X125"	"X126"	"X127"	"X128"	"X129"	"X130"	"X131"	"X132"	"X133"	"X134"	"X135"	"X136"	"X137"	"X138"	"X139"	"X140"	"X141"	"X142"	"X143"	"X144"	"X145"	"X146"	"X147"	"X148"	"X149"	"X150"	"X151"	"X152"	"X153"	"X154"	"X155"	"X156"	"X157"	"X158"	"X159"	"X160"	"X161"	"X162"	"X163"	"X164"	"X165"	"X166"	"X167"	"X168"	"X169"	"X170"	"X171"	"X172"	"X173"	"X174"	"X175"	"X176"	"X177"	"X178"	"X179"	"X180"	"X181"	"X182"	"X183"	"X184"	"X185"	"X186"	"X187"	"X188"	"X189"	"X190"	"X191"	"X192"	"X193"	"X194"	"X195"	"X196"	"X197"	"X198"	"X199"	"X200"	"X201"	"X202"	"X203"	"X204"
"1"	4883.4	4994.5	4939.5	4827.85	4706.3	4884.5	4717.3	4643.6	4828.4	4705.75	4638.1	4772.85	4705.2	4577.6	4717.85	4704.65	4457.87	4717.85	4649.1	4402.87	4704.65	4576.42	4301.72	4649.65	4457.87	4296.22	4583.1	4402.32	4290.17	4458.42	4401.77	4289.62	4402.87	4307.22	4283.57	4307.77	4295.67	4277.13	4289.62	4289.62	4161.08	4289.62	4289.07	4155.58	4222.13	4282.63	4150.08	4166.58	4221.58	3986.48	4155.58	4149.53	3924.88	4155.58	4148.98	3915.48	4046.98	3986.48	3915.48	3991.98	3985.93	3672.98	3930.93	3930.38	3556.93	3930.38	3672.43	3556.93	3860.48	3556.38	3544.58	3733.48	3556.38	3436.53	3678.48	3544.03	3266.03	3617.43	3266.03	3266.03	3562.43	3210.48	3204.98	3442.03	3089.48	3199.48	3381.53	3089.48	3089.48	3326.53	3088.22	3089.48	3271.53	2955.17	3089.48	3211.03	2842.69	2955.72	3210.48	2781.64	2943.37	3210.48	2765.94	2937.87	3199.48	2655.39	2782.19	3089.48	2654.84	2771.44	3089.48	2654.29	2765.94	2961.22	2642.74	2648.79	2843.87	2524.19	2643.29	2787.69	2468.64	2642.74	2787.69	2350.09	2285.69	2655.94	2125.94	2275.49	2654.29	4988.45	4994.5	2524.74	4867.7	4989	2469.19	4866.68	4975.75	2468.64	4610.68	4868.25	2350.64	4597.78	4621.68	2295.09	4596.76	4616.18	2295.09	4368.68	4610.68	2181.49	4326.23	4598.88	2181.49	4325.68	4596.76	2126.49	4324.42	4375.36	4873.75	4312.87	4369.86	4748.68	4300.17	4363.18	4748.68	4135.17	4363.18	4621.68	4134.23	4350.48	4596.76	3934.93	4337.78	4596.76	3933.91	4332.28	4541.76	3927.39	4326.78	4486.76	3882.59	4318.92	4384.76	3754.64	4313.42	4324.42	3748.59	4300.17	4245.17	3692.57	4128.73	4135.17	3692.02	4116.93	4061.93	3691.47	3928.41	3934.93	3691.47	3915.59	3904.59	3690.92	3915.59	3904.59
"2"	4841.6	4990.6	4896.6	4785.5	4523.5	4841.6	4534.5	4425.42	4786.6	4522.56	4419.92	4683.5	4521.46	4364.92	4589.5	4520.36	4297.82	4534.5	4425.42	4233.42	4426.36	4364.37	4231.38	4426.36	4308.82	4231.38	4364.92	4232.32	4230.83	4309.37	4231.38	4230.28	4242.82	4231.38	4135.73	4231.38	4230.83	4135.73	4136.28	4230.28	4014.59	4136.28	4135.73	4009.09	4080.73	4135.73	3834.69	4024.79	4079.79	3666.72	3899.09	3833.67	3598.38	3844.09	3833.12	3588.98	3731.12	3665.62	3583.48	3676.12	3664.6	3473.48	3664.6	3663.58	3411.88	3608.58	3472.38	3402.48	3528.48	3402.48	3396.43	3473.48	3401.93	3288.38	3473.48	3395.88	3031.88	3472.38	3031.33	3021.13	3417.38	3021.13	2921.63	3293.88	2806.13	2916.13	3233.38	2744.69	2800.63	3139.38	2744.14	2800.63	3037.38	2689.14	2745.63	3021.13	2677.59	2689.14	3021.13	2617.09	2683.64	2927.13	2611.04	2678.14	2861.13	2555.49	2617.09	2806.13	2554.94	2617.09	2745.63	2554.94	2611.59	2689.14	2488.39	2494.44	2678.14	2432.84	2488.94	2677.59	2338.29	2488.39	2622.59	2227.74	2065.24	2556.04	2009.69	2065.24	2499.94	1998.14	2004.19	2433.39	1981.89	1998.69	2338.84	1981.34	1992.64	2283.29	1795.39	1982.44	2228.29	1789.34	1810.84	2125.74	1788.32	1805.34	2070.74	1509.77	1795.94	2065.24	1476.22	1789.89	2065.24	1475.67	1672.82	2010.24	1475.12	1515.82	1992.64	1408.57	1510.32	1926.34	1402.52	1504.27	1871.34	1291.97	1498.77	1816.34	1291.97	1493.27	1733.32	1170.42	1487.77	1678.32	1169.4	1482.27	1570.82	1169.4	1476.77	1515.82	1031.35	1414.62	1515.82	975.33	1409.12	1420.12	968.89	1403.07	1347.52	967.87	1286.47	1292.52	966.85	1280.97	1225.97	966.3	1169.4	1170.97	965.75	1163.9	1097.9	965.75	1158.4	1042.9
"3"	4999.45	4772.85	4998.9	4998.9	4772.85	4943.9	4833.35	4710.7	4833.9	4772.85	4705.2	4778.35	4772.3	4644.7	4716.75	4771.75	4360.74	4650.2	4716.2	4354.69	4589.7	4589.7	4347.54	4534.7	4479.15	4342.04	4479.7	4368.05	4276.04	4424.15	4367.5	4055.87	4369.15	4366.24	4050.37	4367.5	4360.19	4044.87	4360.74	4353.59	4038.82	4287.04	4353.04	3973.87	4174.04	4353.04	3968.37	4172.94	4173.49	3961.77	4061.92	4172.94	3956.27	4055.87	4171.92	3949.67	3983.82	4061.37	3944.17	3921.62	4044.32	3938.67	3866.62	3983.27	3933.17	3860.57	3967.82	3927.12	3800.07	3967.27	3921.62	3706.07	3955.72	3861.12	3568.07	3955.17	3855.07	3504.82	3932.62	3700.57	3444.32	3860.57	3695.07	3389.32	3567.52	3561.47	3389.32	3566.97	3499.32	3317.27	3560.92	3383.82	3262.27	3560.37	3378.32	3206.72	3559.82	3372.27	3151.72	3377.77	3206.72	3096.72	3261.72	3091.22	3074.97	3151.72	3091.22	3014.47	3096.72	3081.02	2953.42	3080.47	3074.97	2858.32	3008.42	3069.47	2857.77	2952.87	3008.97	2841.77	2952.32	3008.97	2736.77	2857.77	2851.72	2736.77	2857.22	2842.32	2681.22	2851.72	2830.77	2587.22	2841.77	2581.17	2476.17	2736.22	2575.67	2413.47	2586.67	2570.17	2305.42	2470.12	2470.67	2304.87	2469.57	2407.97	2226.22	2469.02	2299.37	2159.12	2468.47	2293.87	2104.12	2407.42	2287.27	2043.07	2304.87	2281.77	1988.07	2293.32	2220.72	1894.07	2292.77	2214.12	1767.07	2281.22	2098.07	1706.57	2220.17	1761.57	1651.57	2219.62	1424.97	1596.57	2103.57	1363.92	1541.57	1541.02	1358.42	1485.47	1540.47	1352.92	1430.47	1424.42	1124.12	1369.42	1352.37	1118.62	1295.17	1351.82	947.57	1239.62	1351.27	942.07	1184.62	1350.72	936.02	1129.62	1350.17	874.97	1063.62	1294.62	813.92	1008.62
"4"	4978.8	4994.5	4922.78	4977.78	4984.3	4856.78	4922.78	4978.8	4754.78	4479.78	4911.78	4699.78	4297.78	4754.78	4644.78	4005.73	4486.38	4589.78	4005.73	4480.88	4495.78	3999.13	4424.78	4424.78	3986.43	4292.28	4297.78	3980.93	4286.78	4292.28	3924.83	4281.28	4281.28	3918.78	4005.73	4226.28	3918.23	4000.23	4116.28	3645.18	4000.23	4006.28	3535.18	3986.43	4005.73	3533.92	3980.93	3925.93	3533.37	3919.33	3925.93	3367.82	3808.23	3918.23	3264.88	3645.73	3863.23	3264.88	3535.18	3808.23	3079.86	3367.82	3706.23	3073.81	3204.38	3651.23	3072.79	3086.38	3590.18	3072.24	3080.88	3535.18	3053.49	3074.36	3478.37	3042.83	3066.74	3423.37	3042.28	3054.04	3368.37	3041.73	3044.09	3265.82	3041.73	3041.73	3209.88	3041.73	2880.63	3086.38	2891.63	2878.67	3072.24	2879.61	2475.01	3054.04	2878.67	2469.51	3054.04	2721.12	2337.01	3044.09	2666.12	2337.01	3042.28	2665.18	2325.21	2947.73	2610.18	2270.21	2947.73	2609.16	2255.36	2892.73	2482.16	2243.56	2776.67	2481.61	2072.51	2721.67	2481.06	2062.31	2666.12	2481.06	1922.61	2610.18	2480.51	1867.61	2482.16	2480.51	1857.41	2482.16	2269.11	1851.91	2475.01	2268.56	1846.41	2469.51	2268.01	1790.86	2342.51	2267.46	1790.86	2342.51	2266.91	1734.92	2337.01	2266.36	1729.42	2270.21	2078.01	1617.22	2268.01	2078.01	1617.22	2267.46	2062.31	1617.22	2133.56	1935.31	1611.72	2078.56	1857.41	1551.22	2072.51	1845.86	1551.22	1935.31	1789.92	1457.22	1922.61	1556.72	1451.72	1867.61	1457.22	1301.62	1846.41	1357.17	1234.82	1845.86	1356.62	1229.32	1790.86	1085.14	1223.82	1734.92	1084.59	1212.82	1627.42	1078.07	1207.32	1556.72	1077.52	1201.82	1457.22	947.97	1201.82	1357.72	947.97	1146.82	1301.62	936.97	1146.82	1301.62
"5"	4943.82	4943.82	4945	4943.82	4938.32	4883.32	4624.32	4883.32	4773.32	4568.77	4624.32	4718.32	4567.83	4568.77	4624.32	4566.65	4511.65	4569.32	4566.65	4503.95	4511.65	4510.63	4186.26	4448.95	4509.45	4173.52	4393.01	4448.01	4048.66	4393.01	4297.99	4037.66	4299.01	4296.81	4037.66	4299.01	4296.26	3763.09	4299.01	4296.26	3696.95	4241.26	4186.26	3639.83	4186.26	4185.32	3629.41	4186.26	4172.58	3623.91	4117.58	4116.48	3418.81	4061.48	4060.46	3243.31	4037.66	3943.66	3237.81	3943.66	3943.66	3131.55	3888.11	3943.11	3066.35	3833.11	3833.11	3010.09	3777.09	3832.09	2955.09	3707.15	3775.83	2945.69	3639.83	3774.89	2935.27	3623.91	3774.89	2923.47	3529.91	3762.15	2912.97	3474.91	3762.15	2912.97	3418.81	3695.85	2857.97	3363.81	3695.85	2634.29	3308.81	3694.83	2634.29	3253.81	3638.81	2634.29	3253.81	3623.91	2634.29	3143.81	3623.91	2477.29	3142.55	3474.91	2422.29	3142.55	3473.81	2422.29	3076.55	3252.71	2422.29	3010.09	3143.81	2357.09	2955.09	3142.55	2347.69	2857.97	3076.55	2346.75	2802.97	3065.09	2290.73	2802.97	2944.67	2140.71	2747.97	2922.37	1857.71	2747.97	2802.97	1843.83	2644.79	2746.79	1842.89	2634.29	2643.69	1830.19	2579.29	2634.29	1763.51	2477.29	2422.29	1760.21	2422.29	2422.29	1748.41	2367.29	2346.75	1739.01	2290.73	2345.73	1739.01	2235.73	2141.73	1726.31	2141.73	2140.71	1726.31	2085.71	2085.71	1726.31	2030.71	2085.71	1713.61	1975.71	1975.71	1649.21	1975.71	1856.53	1594.21	1857.71	1842.89	1419.01	1830.19	1829.09	1419.01	1774.09	1772.91	1419.01	1658.61	1772.91	1408.81	1594.21	1762.57	1396.11	1539.21	1761.47	1396.11	1484.21	1760.21	1178.31	1429.21	1748.41	1177.29	1419.01	1395.01	1177.29	1301.01	1178.31	1165.49	1246.01
"6"	4876.2	4877.3	4890	4862.56	4877.3	4717.42	4848.68	4863.5	4615.42	4847.74	4849.86	4475.53	4836.6	4849.86	4466.13	4835.42	4837.54	4353.61	4614.48	4837.54	4353.61	4590.23	4837.54	4353.61	4475.53	4614.48	4352.43	4464.87	4601.78	4341.43	4463.61	4601.78	4341.43	4353.61	4590.78	4247.43	4352.43	4577.53	4118.21	4352.43	4466.13	3989.01	4246.41	4466.13	3989.01	4117.27	4353.61	3871.01	4116.01	4352.43	3860.01	3989.01	4341.43	3847.31	3871.01	4236.21	3732.61	3871.01	3989.01	3619.61	3860.01	3860.01	3505.45	3860.01	3860.01	3394.35	3847.31	3847.31	3394.35	3721.61	3834.61	3384.15	3619.61	3834.61	3382.89	3618.67	3721.61	3254.95	3618.67	3619.61	3144.95	3607.45	3608.47	3144.95	3505.45	3608.47	3144.95	3504.35	3505.45	3133.15	3384.15	3394.35	3039.15	3382.89	3384.15	3017.95	3381.95	3382.89	3017.95	3144.95	3133.15	2904.81	3029.75	3029.75	2894.23	3017.95	3029.75	2894.23	3017.95	3017.95	2800.23	3017.95	3017.95	2788.07	3007.75	3017.95	2657.46	3006.81	3007.75	2657.46	3006.81	3006.81	2656.52	3006.81	3006.81	2656.52	2903.63	2904.81	2545.42	2894.23	2903.63	2545.42	2799.29	2894.23	2411.26	2798.27	2799.29	2280.06	2788.07	2788.07	2178.06	2787.52	2656.52	2167.06	2786.58	2531.46	2073.06	2785.48	2531.46	2073.06	2784.46	2521.26	1966.08	2656.52	2401.86	1964.98	2656.52	2401.86	1964.98	2655.42	2401.86	1954.56	2545.42	2390.06	1954.56	2544.16	2390.06	1814.26	2531.46	2167.06	1799.12	2401.86	2167.06	1799.12	2071.88	2060.08	1788.92	1964.98	1955.58	1787.9	1964.98	1942.76	1786.8	1964.98	1933.36	1692.8	1964.98	1814.26	1692.8	1954.56	1800.38	1536.8	1932.26	1788.92	1418.8	1813.08	1788.92	1418.8	1813.08	1788.92	1418.8	1799.12	1786.8	1418.8
"7"	5000	4945	4945	4816	4939.5	4821.5	4815.45	4816	4760.45	4759.43	4643.38	4703.88	4758.88	4643.38	4648.88	4465.13	4478.38	4533.38	4090.08	4465.68	4478.38	4089.53	4365.63	4465.13	4088.43	4200.63	4371.13	4087.88	4200.63	4310.63	3789.43	3857.68	4255.63	3734.43	3789.98	4200.63	3734.43	3728.93	4145.63	3728.93	3716.23	4090.63	3715.68	3702.31	4032.88	3714.66	3702.31	3922.88	3714.11	3692.91	3867.88	3714.11	3692.91	3802.68	3655.21	3692.91	3789.98	3642.86	3687.41	3734.43	3540.86	3676.41	3714.66	3530.66	3664.61	3702.31	3529.56	3664.61	3692.91	3528.38	3664.61	3687.41	3528.38	3655.21	3687.41	3389.58	3643.41	3642.86	3389.58	3642.86	3540.86	3388.56	3642.86	3529.56	3247.92	3530.66	3529.56	3192.37	3530.66	3389.58	3191.11	3529.56	3389.58	3190.17	3529.56	3261.56	3088.17	3516.58	3247.92	3065.37	3248.86	3192.92	3045.77	3076.37	3088.17	2926.51	3065.37	2927.77	2926.51	3055.97	2926.51	2811.53	3045.77	2914.71	2799.51	2914.71	2914.71	2798.49	2914.71	2812.71	2798.49	2800.53	2798.49	2742.55	2798.49	2798.49	2742.55	2798.49	2743.49	2741.53	2798.49	2628.53	2627.43	2743.49	2627.43	2572.43	2742.55	2572.43	2444.41	2742.55	2445.43	2326.41	2730.53	2326.41	2325.23	2315.83	2325.23	2325.23	2127.93	2197.83	2197.83	2116.13	2195.63	2196.57	2116.13	2140.63	2195.63	2110.63	1992.63	2127.93	1937.63	1937.63	2116.13	1925.83	1937.63	1992.63	1915.63	1925.83	1937.63	1915.63	1847.11	1903.37	1904.63	1737.11	1902.11	1726.91	1624.91	1726.91	1726.91	1611.71	1623.89	1611.71	1602.31	1622.71	1602.31	1602.31	1622.71	1602.31	1547.31	1428.21	1602.31	1429.31	1216.21	1318.21	1318.21	1200.29	1318.21	1216.21	1199.19	1206.81	1199.19	1199.19	1201.31	1144.19
"8"	5000	4892.5	4898	4892.5	4770.15	4892.5	4891.95	4758.35	4781.95	4603.3	4603.85	4664.35	4603.3	4592.25	4609.35	4602.75	4491.73	4497.23	4602.2	4486.23	4491.73	4601.65	4480.73	4480.73	4591.23	4480.73	4480.73	4591.23	4370.73	4480.73	4491.73	4153.23	4425.73	4370.73	4142.48	4370.73	4370.73	4136.98	4370.73	4260.73	4081.43	4260.73	4152.68	4080.88	4158.73	4081.43	4080.88	4158.73	4081.43	4025.88	4153.23	4080.88	4025.88	4081.98	4015.68	4015.68	4025.88	4015.13	3960.13	3960.13	3950.18	3950.73	3940.78	3555.23	3940.78	3885.78	3543.29	3940.78	3830.78	3543.29	3549.73	3775.78	3482.24	3544.23	3720.78	3371.3	3482.79	3665.78	3365.25	3365.8	3610.78	3346.45	3365.25	3555.78	3336.25	3355.85	3555.78	3216.3	3346.45	3543.29	2903.86	3336.25	3488.29	2797.84	3216.85	3372.24	2786.29	3114.3	3365.25	2675.74	2904.8	3281.25	2659.24	2892.86	3226.25	2587.74	2786.84	3114.3	2576.19	2670.24	3114.3	2575.17	2664.74	3114.3	2519.62	2659.24	3012.3	2509.67	2653.74	2910.3	2503.62	2648.24	2904.8	2338.62	2648.24	2798.86	2272.07	2642.74	2731.29	2216.13	2582.24	2676.29	2215.11	2576.74	2675.74	2198.06	2510.22	2675.74	2087.51	2504.17	2587.74	2086.96	2333.12	2587.74	1992.96	2327.62	2520.17	1992.02	2209.61	2393.62	1991.47	2198.61	2393.62	1930.42	1992.96	2338.62	1929.87	1992.02	2272.62	1919.12	1985.97	2217.07	1811.07	1919.67	2088.06	1805.02	1811.62	1992.96	1798.97	1805.57	1992.96	1798.42	1799.52	1930.97	1695.87	1687.39	1919.12	1695.32	1677.99	1817.12	1694.38	1672.49	1799.52	1693.83	1611.99	1696.42	1692.89	1610.34	1617.49	1611.44	1604.84	1543.79	1610.34	1598.79	1531.85	1604.29	1538.29	1429.85	1537.35	1538.29	1372.73	1429.3	1538.29	1269.33
"9"	5000	4989.8	4934.8	5000	4656.25	4832.25	4934.25	4595.75	4777.25	4777.25	4583.95	4667.25	4656.25	4369.75	4601.25	4656.25	4364.25	4601.25	4583.95	4364.25	4583.95	4364.25	4351.55	4583.95	4364.25	4296.55	4481.95	4364.25	4295.45	4379.95	4295.45	4195.95	4379.95	4154.85	4183.25	4296.55	4145.45	4173.05	4201.45	4145.45	4167.55	4183.25	4042.27	4154.85	4167.55	4042.27	4145.45	4145.45	4041.72	4145.45	4145.45	4041.72	4029.02	4043.45	4027.92	4015.22	3971.04	3991.4	4009.72	3902.98	3990.38	3997.92	3807.33	3989.83	3992.42	3807.33	3988.89	3989.83	3807.33	3971.04	3977.09	3801.83	3969.78	3971.59	3794.29	3902.43	3957.98	3739.29	3901.88	3801.83	3739.29	3901.33	3795.39	3684.29	3800.89	3794.84	3684.29	3794.84	3794.29	3684.29	3794.29	3794.29	3629.29	3794.29	3684.29	3567.85	3739.29	3684.29	3455.65	3622.85	3623.79	3326.65	3444.65	3557.65	3326.65	3216.65	3557.65	3216.65	3201.75	3444.65	3145.65	3200.65	3326.65	3089.71	3144.71	3207.25	3026.7	3089.71	3201.75	2927.2	3088.77	3082.72	2872.2	3088.22	3082.72	2872.2	3081.7	3026.7	2872.2	3021.2	3021.2	2872.2	2927.2	2927.2	2793.85	2872.2	2927.2	2670.35	2872.2	2861.2	2575.8	2848.85	2849.4	2514.2	2792.59	2792.59	2404.2	2792.59	2792.59	2404.2	2791.65	2791.65	2348.18	2780.35	2781.45	2236.92	2669.8	2569.2	2100.96	2574.7	2348.18	2045.96	2403.18	2230.24	1979.96	2348.18	2034.96	1955.71	2346.92	2034.96	1932.01	2235.74	1973.91	1932.01	2229.06	1961.21	1932.01	2228.51	1955.71	1804.46	2227.96	1955.71	1804.46	1979.96	1950.21	1694.46	1979.41	1937.51	1588.44	1931.46	1932.01	1577.44	1687.94	1688.96	1577.44	1565.89	1682.44	1510.89	1445.14	1582.94	1455.89	1444.59	1577.44	1388.65
"10"	4998.98	4887.96	4943.98	4887.96	4713.56	4888.98	4702.01	4702.56	4888.98	4586.51	4696.51	4832.96	4585.57	4530.57	4777.96	4474.63	4469.13	4722.96	4413.58	4414.13	4586.51	4413.58	4408.08	4530.57	4214.53	4402.58	4475.57	4153.48	4342.08	4414.13	4152.93	4154.03	4347.58	4151.67	4154.03	4215.08	4151.12	4145.62	4159.53	4024.07	4140.12	4085.12	4023.52	4024.62	4030.12	3907.47	3963.02	4030.12	3906.92	3901.42	4023.52	3900.87	3840.37	3968.52	3839.82	3833.77	3908.02	3839.27	3826.46	3900.87	3832.51	3820.96	3845.87	3831.96	3815.46	3682.96	3627.96	3809.96	3627.96	3572.41	3478.41	3572.96	3477.86	3477.31	3478.41	3477.31	3322.26	3478.41	3476.76	3151.21	3382.76	3156.71	2990.11	3327.76	3150.66	2929.06	3267.26	3001.11	2923.01	3212.26	2934.56	2916.96	3157.26	2928.51	2911.46	3056.66	2922.46	2905.96	3001.66	2899.91	2900.46	2935.11	2899.36	2893.86	2928.51	2703.81	2770.36	2899.91	2703.26	2709.86	2775.86	2697.21	2704.36	2715.36	2685.66	2697.76	2542.82	2685.11	2686.21	2482.32	2684.56	2677.96	2372.32	2684.01	2677.96	2311.82	2683.46	2672.46	2251.32	2660.36	2666.96	2196.32	2659.26	2661.46	2140.77	2652.82	2653.76	2038.22	2195.77	2537.32	1971.12	2140.22	2366.82	1916.12	2037.67	2306.32	1855.07	2031.62	2032.17	1843.52	1910.07	2026.12	1715.42	1849.02	1910.62	1659.87	1842.97	1849.57	1541.87	1842.42	1843.52	1486.87	1714.87	1370.82	1431.32	1486.32	1365.32	1376.32	1163.27	1163.82	1263.32	1052.72	992.22	1169.32	705.67	931.72	1108.27	705.12	926.22	1053.27	704.57	705.12	997.72	544.02	605.07	937.22	441.47	599.57	871.22	358.42	435.97	816.22	195.37	430.47	761.22	194.82	424.97	706.22	128.27	364.47	610.57	127.72	358.97	610.57
