""	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"	"V101"	"V102"	"V103"	"V104"	"V105"	"V106"	"V107"	"V108"	"V109"	"V110"	"V111"	"V112"	"V113"	"V114"	"V115"	"V116"	"V117"	"V118"	"V119"	"V120"	"V121"	"V122"	"V123"	"V124"	"V125"	"V126"	"V127"	"V128"	"V129"	"V130"	"V131"	"V132"	"V133"	"V134"	"V135"	"V136"	"V137"	"V138"	"V139"	"V140"	"V141"	"V142"	"V143"	"V144"	"V145"	"V146"	"V147"	"V148"	"V149"	"V150"	"V151"	"V152"	"V153"	"V154"	"V155"	"V156"	"V157"	"V158"	"V159"	"V160"	"V161"	"V162"	"V163"	"V164"	"V165"	"V166"	"V167"	"V168"	"V169"	"V170"	"V171"	"V172"	"V173"	"V174"	"V175"	"V176"	"V177"	"V178"	"V179"	"V180"	"V181"	"V182"	"V183"	"V184"	"V185"	"V186"	"V187"	"V188"	"V189"	"V190"	"V191"	"V192"	"V193"	"V194"	"V195"	"V196"	"V197"	"V198"	"V199"	"V200"	"V201"	"V202"	"V203"	"V204"
"1"	4883.4	4827.85	4717.3	4705.75	4705.2	4704.65	4649.1	4576.42	4457.87	4402.32	4401.77	4307.22	4295.67	4289.62	4289.07	4282.63	4221.58	4149.53	4148.98	3986.48	3985.93	3930.38	3672.43	3556.38	3556.38	3544.03	3266.03	3210.48	3089.48	3089.48	3088.22	2955.17	2842.69	2781.64	2765.94	2655.39	2654.84	2654.29	2642.74	2524.19	2468.64	2350.09	2125.94	4988.45	4867.7	4866.68	4610.68	4597.78	4596.76	4368.68	4326.23	4325.68	4324.42	4312.87	4300.17	4135.17	4134.23	3934.93	3933.91	3927.39	3882.59	3754.64	3748.59	3692.57	3692.02	3691.47	3691.47	3690.92	4994.5	4706.3	4643.6	4638.1	4577.6	4457.87	4402.87	4301.72	4296.22	4290.17	4289.62	4283.57	4277.13	4161.08	4155.58	4150.08	3986.48	3924.88	3915.48	3915.48	3672.98	3556.93	3556.93	3544.58	3436.53	3266.03	3266.03	3204.98	3199.48	3089.48	3089.48	3089.48	2955.72	2943.37	2937.87	2782.19	2771.44	2765.94	2648.79	2643.29	2642.74	2285.69	2275.49	4994.5	4989	4975.75	4868.25	4621.68	4616.18	4610.68	4598.88	4596.76	4375.36	4369.86	4363.18	4363.18	4350.48	4337.78	4332.28	4326.78	4318.92	4313.42	4300.17	4128.73	4116.93	3928.41	3915.59	3915.59	4939.5	4884.5	4828.4	4772.85	4717.85	4717.85	4704.65	4649.65	4583.1	4458.42	4402.87	4307.77	4289.62	4289.62	4222.13	4166.58	4155.58	4155.58	4046.98	3991.98	3930.93	3930.38	3860.48	3733.48	3678.48	3617.43	3562.43	3442.03	3381.53	3326.53	3271.53	3211.03	3210.48	3210.48	3199.48	3089.48	3089.48	2961.22	2843.87	2787.69	2787.69	2655.94	2654.29	2524.74	2469.19	2468.64	2350.64	2295.09	2295.09	2181.49	2181.49	2126.49	4873.75	4748.68	4748.68	4621.68	4596.76	4596.76	4541.76	4486.76	4384.76	4324.42	4245.17	4135.17	4061.93	3934.93	3904.59	3904.59
"2"	4841.6	4785.5	4534.5	4522.56	4521.46	4520.36	4425.42	4364.37	4308.82	4232.32	4231.38	4231.38	4230.83	4230.28	4135.73	4135.73	4079.79	3833.67	3833.12	3665.62	3664.6	3663.58	3472.38	3402.48	3401.93	3395.88	3031.33	3021.13	2806.13	2744.69	2744.14	2689.14	2677.59	2617.09	2611.04	2555.49	2554.94	2554.94	2488.39	2432.84	2338.29	2227.74	2009.69	1998.14	1981.89	1981.34	1795.39	1789.34	1788.32	1509.77	1476.22	1475.67	1475.12	1408.57	1402.52	1291.97	1291.97	1170.42	1169.4	1169.4	1031.35	975.33	968.89	967.87	966.85	966.3	965.75	965.75	4990.6	4523.5	4425.42	4419.92	4364.92	4297.82	4233.42	4231.38	4231.38	4230.83	4230.28	4135.73	4135.73	4014.59	4009.09	3834.69	3666.72	3598.38	3588.98	3583.48	3473.48	3411.88	3402.48	3396.43	3288.38	3031.88	3021.13	2921.63	2916.13	2800.63	2800.63	2745.63	2689.14	2683.64	2678.14	2617.09	2617.09	2611.59	2494.44	2488.94	2488.39	2065.24	2065.24	2004.19	1998.69	1992.64	1982.44	1810.84	1805.34	1795.94	1789.89	1672.82	1515.82	1510.32	1504.27	1498.77	1493.27	1487.77	1482.27	1476.77	1414.62	1409.12	1403.07	1286.47	1280.97	1169.4	1163.9	1158.4	4896.6	4841.6	4786.6	4683.5	4589.5	4534.5	4426.36	4426.36	4364.92	4309.37	4242.82	4231.38	4136.28	4136.28	4080.73	4024.79	3899.09	3844.09	3731.12	3676.12	3664.6	3608.58	3528.48	3473.48	3473.48	3472.38	3417.38	3293.88	3233.38	3139.38	3037.38	3021.13	3021.13	2927.13	2861.13	2806.13	2745.63	2689.14	2678.14	2677.59	2622.59	2556.04	2499.94	2433.39	2338.84	2283.29	2228.29	2125.74	2070.74	2065.24	2065.24	2010.24	1992.64	1926.34	1871.34	1816.34	1733.32	1678.32	1570.82	1515.82	1515.82	1420.12	1347.52	1292.52	1225.97	1170.97	1097.9	1042.9
"3"	4999.45	4998.9	4833.35	4772.85	4772.3	4771.75	4716.2	4589.7	4479.15	4368.05	4367.5	4366.24	4360.19	4353.59	4353.04	4353.04	4173.49	4172.94	4171.92	4061.37	4044.32	3983.27	3967.82	3967.27	3955.72	3955.17	3932.62	3860.57	3567.52	3566.97	3560.92	3560.37	3559.82	3377.77	3261.72	3151.72	3096.72	3080.47	3008.42	2952.87	2952.32	2857.77	2857.22	2851.72	2841.77	2736.22	2586.67	2470.12	2469.57	2469.02	2468.47	2407.42	2304.87	2293.32	2292.77	2281.22	2220.17	2219.62	2103.57	1541.02	1540.47	1424.42	1352.37	1351.82	1351.27	1350.72	1350.17	1294.62	4772.85	4772.85	4710.7	4705.2	4644.7	4360.74	4354.69	4347.54	4342.04	4276.04	4055.87	4050.37	4044.87	4038.82	3973.87	3968.37	3961.77	3956.27	3949.67	3944.17	3938.67	3933.17	3927.12	3921.62	3861.12	3855.07	3700.57	3695.07	3561.47	3499.32	3383.82	3378.32	3372.27	3206.72	3091.22	3091.22	3081.02	3074.97	3069.47	3008.97	3008.97	2851.72	2842.32	2830.77	2581.17	2575.67	2570.17	2470.67	2407.97	2299.37	2293.87	2287.27	2281.77	2220.72	2214.12	2098.07	1761.57	1424.97	1363.92	1358.42	1352.92	1124.12	1118.62	947.57	942.07	936.02	874.97	813.92	4998.9	4943.9	4833.9	4778.35	4716.75	4650.2	4589.7	4534.7	4479.7	4424.15	4369.15	4367.5	4360.74	4287.04	4174.04	4172.94	4061.92	4055.87	3983.82	3921.62	3866.62	3860.57	3800.07	3706.07	3568.07	3504.82	3444.32	3389.32	3389.32	3317.27	3262.27	3206.72	3151.72	3096.72	3074.97	3014.47	2953.42	2858.32	2857.77	2841.77	2736.77	2736.77	2681.22	2587.22	2476.17	2413.47	2305.42	2304.87	2226.22	2159.12	2104.12	2043.07	1988.07	1894.07	1767.07	1706.57	1651.57	1596.57	1541.57	1485.47	1430.47	1369.42	1295.17	1239.62	1184.62	1129.62	1063.62	1008.62
"4"	4978.8	4977.78	4922.78	4479.78	4297.78	4005.73	4005.73	3999.13	3986.43	3980.93	3924.83	3918.78	3918.23	3645.18	3535.18	3533.92	3533.37	3367.82	3264.88	3264.88	3079.86	3073.81	3072.79	3072.24	3053.49	3042.83	3042.28	3041.73	3041.73	3041.73	2891.63	2879.61	2878.67	2721.12	2666.12	2665.18	2610.18	2609.16	2482.16	2481.61	2481.06	2481.06	2480.51	2480.51	2269.11	2268.56	2268.01	2267.46	2266.91	2266.36	2078.01	2078.01	2062.31	1935.31	1857.41	1845.86	1789.92	1556.72	1457.22	1357.17	1356.62	1085.14	1084.59	1078.07	1077.52	947.97	947.97	936.97	4994.5	4984.3	4978.8	4911.78	4754.78	4486.38	4480.88	4424.78	4292.28	4286.78	4281.28	4005.73	4000.23	4000.23	3986.43	3980.93	3919.33	3808.23	3645.73	3535.18	3367.82	3204.38	3086.38	3080.88	3074.36	3066.74	3054.04	3044.09	3041.73	2880.63	2878.67	2475.01	2469.51	2337.01	2337.01	2325.21	2270.21	2255.36	2243.56	2072.51	2062.31	1922.61	1867.61	1857.41	1851.91	1846.41	1790.86	1790.86	1734.92	1729.42	1617.22	1617.22	1617.22	1611.72	1551.22	1551.22	1457.22	1451.72	1301.62	1234.82	1229.32	1223.82	1212.82	1207.32	1201.82	1201.82	1146.82	1146.82	4922.78	4856.78	4754.78	4699.78	4644.78	4589.78	4495.78	4424.78	4297.78	4292.28	4281.28	4226.28	4116.28	4006.28	4005.73	3925.93	3925.93	3918.23	3863.23	3808.23	3706.23	3651.23	3590.18	3535.18	3478.37	3423.37	3368.37	3265.82	3209.88	3086.38	3072.24	3054.04	3054.04	3044.09	3042.28	2947.73	2947.73	2892.73	2776.67	2721.67	2666.12	2610.18	2482.16	2482.16	2475.01	2469.51	2342.51	2342.51	2337.01	2270.21	2268.01	2267.46	2133.56	2078.56	2072.51	1935.31	1922.61	1867.61	1846.41	1845.86	1790.86	1734.92	1627.42	1556.72	1457.22	1357.72	1301.62	1301.62
"5"	4943.82	4943.82	4624.32	4568.77	4567.83	4566.65	4566.65	4510.63	4509.45	4448.01	4297.99	4296.81	4296.26	4296.26	4186.26	4185.32	4172.58	4116.48	4060.46	3943.66	3943.66	3943.11	3833.11	3832.09	3775.83	3774.89	3774.89	3762.15	3762.15	3695.85	3695.85	3694.83	3638.81	3623.91	3623.91	3474.91	3473.81	3252.71	3143.81	3142.55	3076.55	3065.09	2944.67	2922.37	2802.97	2746.79	2643.69	2634.29	2422.29	2422.29	2346.75	2345.73	2141.73	2140.71	2085.71	2085.71	1975.71	1856.53	1842.89	1829.09	1772.91	1772.91	1762.57	1761.47	1760.21	1748.41	1395.01	1178.31	4943.82	4938.32	4883.32	4624.32	4568.77	4511.65	4503.95	4186.26	4173.52	4048.66	4037.66	4037.66	3763.09	3696.95	3639.83	3629.41	3623.91	3418.81	3243.31	3237.81	3131.55	3066.35	3010.09	2955.09	2945.69	2935.27	2923.47	2912.97	2912.97	2857.97	2634.29	2634.29	2634.29	2634.29	2477.29	2422.29	2422.29	2422.29	2357.09	2347.69	2346.75	2290.73	2140.71	1857.71	1843.83	1842.89	1830.19	1763.51	1760.21	1748.41	1739.01	1739.01	1726.31	1726.31	1726.31	1713.61	1649.21	1594.21	1419.01	1419.01	1419.01	1408.81	1396.11	1396.11	1178.31	1177.29	1177.29	1165.49	4945	4883.32	4773.32	4718.32	4624.32	4569.32	4511.65	4448.95	4393.01	4393.01	4299.01	4299.01	4299.01	4241.26	4186.26	4186.26	4117.58	4061.48	4037.66	3943.66	3888.11	3833.11	3777.09	3707.15	3639.83	3623.91	3529.91	3474.91	3418.81	3363.81	3308.81	3253.81	3253.81	3143.81	3142.55	3142.55	3076.55	3010.09	2955.09	2857.97	2802.97	2802.97	2747.97	2747.97	2644.79	2634.29	2579.29	2477.29	2422.29	2367.29	2290.73	2235.73	2141.73	2085.71	2030.71	1975.71	1975.71	1857.71	1830.19	1774.09	1658.61	1594.21	1539.21	1484.21	1429.21	1419.01	1301.01	1246.01
"6"	4876.2	4862.56	4848.68	4847.74	4836.6	4835.42	4614.48	4590.23	4475.53	4464.87	4463.61	4353.61	4352.43	4352.43	4246.41	4117.27	4116.01	3989.01	3871.01	3871.01	3860.01	3860.01	3847.31	3721.61	3619.61	3618.67	3618.67	3607.45	3505.45	3504.35	3384.15	3382.89	3381.95	3144.95	3029.75	3017.95	3017.95	3017.95	3007.75	3006.81	3006.81	3006.81	2903.63	2894.23	2799.29	2798.27	2788.07	2787.52	2786.58	2785.48	2784.46	2656.52	2656.52	2655.42	2545.42	2544.16	2531.46	2401.86	2071.88	1964.98	1964.98	1964.98	1964.98	1954.56	1932.26	1813.08	1813.08	1799.12	4877.3	4877.3	4863.5	4849.86	4849.86	4837.54	4837.54	4837.54	4614.48	4601.78	4601.78	4590.78	4577.53	4466.13	4466.13	4353.61	4352.43	4341.43	4236.21	3989.01	3860.01	3860.01	3847.31	3834.61	3834.61	3721.61	3619.61	3608.47	3608.47	3505.45	3394.35	3384.15	3382.89	3133.15	3029.75	3029.75	3017.95	3017.95	3017.95	3007.75	3006.81	3006.81	2904.81	2903.63	2894.23	2799.29	2788.07	2656.52	2531.46	2531.46	2521.26	2401.86	2401.86	2401.86	2390.06	2390.06	2167.06	2167.06	2060.08	1955.58	1942.76	1933.36	1814.26	1800.38	1788.92	1788.92	1788.92	1786.8	4890	4717.42	4615.42	4475.53	4466.13	4353.61	4353.61	4353.61	4352.43	4341.43	4341.43	4247.43	4118.21	3989.01	3989.01	3871.01	3860.01	3847.31	3732.61	3619.61	3505.45	3394.35	3394.35	3384.15	3382.89	3254.95	3144.95	3144.95	3144.95	3133.15	3039.15	3017.95	3017.95	2904.81	2894.23	2894.23	2800.23	2788.07	2657.46	2657.46	2656.52	2656.52	2545.42	2545.42	2411.26	2280.06	2178.06	2167.06	2073.06	2073.06	1966.08	1964.98	1964.98	1954.56	1954.56	1814.26	1799.12	1799.12	1788.92	1787.9	1786.8	1692.8	1692.8	1536.8	1418.8	1418.8	1418.8	1418.8
"7"	5000	4816	4815.45	4759.43	4758.88	4465.13	4090.08	4089.53	4088.43	4087.88	3789.43	3734.43	3734.43	3728.93	3715.68	3714.66	3714.11	3714.11	3655.21	3642.86	3540.86	3530.66	3529.56	3528.38	3528.38	3389.58	3389.58	3388.56	3247.92	3192.37	3191.11	3190.17	3088.17	3065.37	3045.77	2926.51	2926.51	2811.53	2799.51	2798.49	2798.49	2742.55	2742.55	2741.53	2627.43	2572.43	2444.41	2326.41	2325.23	2325.23	2197.83	2196.57	2195.63	2127.93	2116.13	1992.63	1937.63	1903.37	1902.11	1726.91	1623.89	1622.71	1622.71	1428.21	1216.21	1200.29	1199.19	1199.19	4945	4939.5	4816	4643.38	4643.38	4478.38	4465.68	4365.63	4200.63	4200.63	3857.68	3789.98	3728.93	3716.23	3702.31	3702.31	3692.91	3692.91	3692.91	3687.41	3676.41	3664.61	3664.61	3664.61	3655.21	3643.41	3642.86	3642.86	3530.66	3530.66	3529.56	3529.56	3516.58	3248.86	3076.37	3065.37	3055.97	3045.77	2914.71	2914.71	2800.53	2798.49	2798.49	2798.49	2743.49	2742.55	2742.55	2730.53	2315.83	2127.93	2116.13	2116.13	2110.63	1937.63	1925.83	1915.63	1915.63	1904.63	1726.91	1726.91	1611.71	1602.31	1602.31	1602.31	1318.21	1318.21	1206.81	1201.31	4945	4821.5	4760.45	4703.88	4648.88	4533.38	4478.38	4465.13	4371.13	4310.63	4255.63	4200.63	4145.63	4090.63	4032.88	3922.88	3867.88	3802.68	3789.98	3734.43	3714.66	3702.31	3692.91	3687.41	3687.41	3642.86	3540.86	3529.56	3529.56	3389.58	3389.58	3261.56	3247.92	3192.92	3088.17	2927.77	2926.51	2914.71	2914.71	2812.71	2798.49	2798.49	2743.49	2628.53	2627.43	2572.43	2445.43	2326.41	2325.23	2197.83	2195.63	2140.63	1992.63	1937.63	1937.63	1925.83	1847.11	1737.11	1624.91	1611.71	1602.31	1602.31	1547.31	1429.31	1318.21	1216.21	1199.19	1144.19
"8"	5000	4892.5	4891.95	4603.3	4603.3	4602.75	4602.2	4601.65	4591.23	4591.23	4491.73	4370.73	4370.73	4260.73	4152.68	4081.43	4081.43	4080.88	4015.68	4015.13	3950.18	3555.23	3543.29	3543.29	3482.24	3371.3	3365.25	3346.45	3336.25	3216.3	2903.86	2797.84	2786.29	2675.74	2659.24	2587.74	2576.19	2575.17	2519.62	2509.67	2503.62	2338.62	2272.07	2216.13	2215.11	2198.06	2087.51	2086.96	1992.96	1992.02	1991.47	1930.42	1929.87	1919.12	1811.07	1805.02	1798.97	1798.42	1695.87	1695.32	1694.38	1693.83	1692.89	1611.44	1610.34	1604.29	1537.35	1429.3	4892.5	4770.15	4758.35	4603.85	4592.25	4491.73	4486.23	4480.73	4480.73	4370.73	4153.23	4142.48	4136.98	4081.43	4080.88	4080.88	4025.88	4025.88	4015.68	3960.13	3950.73	3940.78	3940.78	3549.73	3544.23	3482.79	3365.8	3365.25	3355.85	3346.45	3336.25	3216.85	3114.3	2904.8	2892.86	2786.84	2670.24	2664.74	2659.24	2653.74	2648.24	2648.24	2642.74	2582.24	2576.74	2510.22	2504.17	2333.12	2327.62	2209.61	2198.61	1992.96	1992.02	1985.97	1919.67	1811.62	1805.57	1799.52	1687.39	1677.99	1672.49	1611.99	1610.34	1604.84	1598.79	1538.29	1538.29	1538.29	4898	4892.5	4781.95	4664.35	4609.35	4497.23	4491.73	4480.73	4480.73	4480.73	4425.73	4370.73	4370.73	4260.73	4158.73	4158.73	4153.23	4081.98	4025.88	3960.13	3940.78	3885.78	3830.78	3775.78	3720.78	3665.78	3610.78	3555.78	3555.78	3543.29	3488.29	3372.24	3365.25	3281.25	3226.25	3114.3	3114.3	3114.3	3012.3	2910.3	2904.8	2798.86	2731.29	2676.29	2675.74	2675.74	2587.74	2587.74	2520.17	2393.62	2393.62	2338.62	2272.62	2217.07	2088.06	1992.96	1992.96	1930.97	1919.12	1817.12	1799.52	1696.42	1617.49	1543.79	1531.85	1429.85	1372.73	1269.33
"9"	5000	5000	4934.25	4777.25	4656.25	4656.25	4583.95	4364.25	4364.25	4364.25	4295.45	4154.85	4145.45	4145.45	4042.27	4042.27	4041.72	4041.72	4027.92	3991.4	3990.38	3989.83	3988.89	3971.04	3969.78	3902.43	3901.88	3901.33	3800.89	3794.84	3794.29	3794.29	3739.29	3622.85	3444.65	3216.65	3201.75	3200.65	3144.71	3089.71	3088.77	3088.22	3081.7	3021.2	2927.2	2872.2	2872.2	2848.85	2792.59	2792.59	2791.65	2780.35	2669.8	2574.7	2403.18	2348.18	2346.92	2235.74	2229.06	2228.51	2227.96	1979.96	1979.41	1931.46	1687.94	1565.89	1445.14	1444.59	4989.8	4656.25	4595.75	4583.95	4369.75	4364.25	4364.25	4351.55	4296.55	4295.45	4195.95	4183.25	4173.05	4167.55	4154.85	4145.45	4145.45	4029.02	4015.22	4009.72	3997.92	3992.42	3989.83	3977.09	3971.59	3957.98	3801.83	3795.39	3794.84	3794.29	3794.29	3684.29	3684.29	3623.79	3557.65	3557.65	3444.65	3326.65	3207.25	3201.75	3082.72	3082.72	3026.7	3021.2	2927.2	2927.2	2861.2	2849.4	2792.59	2792.59	2791.65	2781.45	2569.2	2348.18	2230.24	2034.96	2034.96	1973.91	1961.21	1955.71	1955.71	1950.21	1937.51	1932.01	1688.96	1682.44	1582.94	1577.44	4934.8	4832.25	4777.25	4667.25	4601.25	4601.25	4583.95	4583.95	4481.95	4379.95	4379.95	4296.55	4201.45	4183.25	4167.55	4145.45	4145.45	4043.45	3971.04	3902.98	3807.33	3807.33	3807.33	3801.83	3794.29	3739.29	3739.29	3684.29	3684.29	3684.29	3629.29	3567.85	3455.65	3326.65	3326.65	3216.65	3145.65	3089.71	3026.7	2927.2	2872.2	2872.2	2872.2	2872.2	2793.85	2670.35	2575.8	2514.2	2404.2	2404.2	2348.18	2236.92	2100.96	2045.96	1979.96	1955.71	1932.01	1932.01	1932.01	1804.46	1804.46	1694.46	1588.44	1577.44	1577.44	1510.89	1455.89	1388.65
"10"	4998.98	4887.96	4702.01	4586.51	4585.57	4474.63	4413.58	4413.58	4214.53	4153.48	4152.93	4151.67	4151.12	4024.07	4023.52	3907.47	3906.92	3900.87	3839.82	3839.27	3832.51	3831.96	3627.96	3572.41	3477.86	3477.31	3476.76	3156.71	3150.66	3001.11	2934.56	2928.51	2922.46	2899.91	2899.36	2703.81	2703.26	2697.21	2685.66	2685.11	2684.56	2684.01	2683.46	2660.36	2659.26	2652.82	2195.77	2140.22	2037.67	2031.62	1910.07	1849.02	1842.97	1842.42	1714.87	1486.32	1163.27	1052.72	705.67	705.12	704.57	544.02	441.47	358.42	195.37	194.82	128.27	127.72	4887.96	4713.56	4702.56	4696.51	4530.57	4469.13	4414.13	4408.08	4402.58	4342.08	4154.03	4154.03	4145.62	4140.12	4024.62	3963.02	3901.42	3840.37	3833.77	3826.46	3820.96	3815.46	3809.96	3478.41	3477.31	3322.26	3151.21	2990.11	2929.06	2923.01	2916.96	2911.46	2905.96	2900.46	2893.86	2770.36	2709.86	2704.36	2697.76	2686.21	2677.96	2677.96	2672.46	2666.96	2661.46	2653.76	2537.32	2366.82	2306.32	2032.17	2026.12	1910.62	1849.57	1843.52	1370.82	1365.32	1163.82	992.22	931.72	926.22	705.12	605.07	599.57	435.97	430.47	424.97	364.47	358.97	4943.98	4888.98	4888.98	4832.96	4777.96	4722.96	4586.51	4530.57	4475.57	4414.13	4347.58	4215.08	4159.53	4085.12	4030.12	4030.12	4023.52	3968.52	3908.02	3900.87	3845.87	3682.96	3627.96	3572.96	3478.41	3478.41	3382.76	3327.76	3267.26	3212.26	3157.26	3056.66	3001.66	2935.11	2928.51	2899.91	2775.86	2715.36	2542.82	2482.32	2372.32	2311.82	2251.32	2196.32	2140.77	2038.22	1971.12	1916.12	1855.07	1843.52	1715.42	1659.87	1541.87	1486.87	1431.32	1376.32	1263.32	1169.32	1108.27	1053.27	997.72	937.22	871.22	816.22	761.22	706.22	610.57	610.57
